| Реализация | Оптимизация | Время (милисек) |
|------------|-------------|-----------------|
| ASM x86-64 | -O0         | 194.000000  |
| ASM x86-64 | -O0         | 76.000000   |
| ASM x86-64 | -O0         | 478.000000  |
| ASM x86-64 | -O0         | 1030.000000 |
| ASM x86-64 | -O0         | 877.000000  |

| C          | -O0         | 1018.000000 |
| C          | -O0         | 409.000000  |
| C          | -O0         | 2451.000000 |
| C          | -O0         | 4242.000000 |
| C          | -O0         | 3720.000000 |

| C          | -O1         | 268.000000  |
| C          | -O1         | 110.000000  |
| C          | -O1         | 668.000000  |
| C          | -O1         | 1152.000000 |
| C          | -O1         | 654.000000  |

| C          | -O2         | 287.000000  |
| C          | -O2         | 115.000000  |
| C          | -O2         | 702.000000  |
| C          | -O2         | 1230.000000 |
| C          | -O2         | 1237.000000 |

| C          | -Ofast      | 198.000000  |
| C          | -Ofast      | 67.000000   |
| C          | -Ofast      | 412.000000  |
| C          | -Ofast      | 789.000000  |
| C          | -Ofast      | 821.000000  |

| C          | -O3         | 173.000000  |
| C          | -O3         | 72.000000   |
| C          | -O3         | 415.000000  |
| C          | -O3         | 772.000000  |
| C          | -O3         | 860.000000  |
| ASM x86-64 | -O0         | 195.000000      |
| C          | -O0         | 882.000000      |
| C          | -O1         | 265.000000      |
| C          | -O2         | 286.000000      |
| C          | -O3         | 170.000000      |
| C          | -Ofast      | 167.000000      |
