|    Реализация     | Оптимизация | Размер | Время (милисек) |
|-------------------|-------------|--------|-----------------|
| C                 | -O0         | 195938 | 2403.000000     |
| C                 | -O0         | 76800  | 985.000000      |
| C                 | -O0         | 480000 | 5894.000000     |
| C                 | -O0         | 844800 | 10678.000000    |
| C                 | -O0         | 844800 | 10431.000000    |
| C                 | -O1         | 195938 | 551.000000      |
| C                 | -O1         | 76800  | 223.000000      |
| C                 | -O1         | 480000 | 1433.000000     |
| C                 | -O1         | 844800 | 2401.000000     |
| C                 | -O1         | 844800 | 2452.000000     |
| C                 | -O2         | 195938 | 513.000000      |
| C                 | -O2         | 76800  | 198.000000      |
| C                 | -O2         | 480000 | 1237.000000     |
| C                 | -O2         | 844800 | 2292.000000     |
| C                 | -O2         | 844800 | 2204.000000     |
| C                 | -O3         | 195938 | 150.000000      |
| C                 | -O3         | 76800  | 71.000000       |
| C                 | -O3         | 480000 | 508.000000      |
| C                 | -O3         | 844800 | 821.000000      |
| C                 | -O3         | 844800 | 777.000000      |
| C                 | -Ofast      | 195938 | 139.000000      |
| C                 | -Ofast      | 76800  | 70.000000       |
| C                 | -Ofast      | 480000 | 406.000000      |
| C                 | -Ofast      | 844800 | 671.000000      |
| C                 | -Ofast      | 844800 | 663.000000      |
| ASM x86-64 scalar | -O0         | 195938 | 599.000000      |
| ASM x86-64 scalar | -O0         | 76800  | 271.000000      |
| ASM x86-64 scalar | -O0         | 480000 | 1483.000000     |
| ASM x86-64 scalar | -O0         | 844800 | 2733.000000     |
| ASM x86-64 scalar | -O0         | 844800 | 2567.000000     |
| ASM x86-64 vector | -O0         | 195938 | 206.000000      |
| ASM x86-64 vector | -O0         | 76800  | 86.000000       |
| ASM x86-64 vector | -O0         | 480000 | 526.000000      |
| ASM x86-64 vector | -O0         | 844800 | 910.000000      |
| ASM x86-64 vector | -O0         | 844800 | 970.000000      |
